check_id,year,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,common_segments,valid_common_segments,chosen_segments,current_construct_n_pairs,current_construct_delta_s,highest_common_segment,highest_common_best_delta_s,any_valid_best_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
verstappen_perez_quali_2023,2023,Monaco Grand Prix,VER,PER,True,dry,['Q1'],['Q1'],['Q1'],1,,Q1,1.4639999999999986,2.4849999999999994,False,,0,
albon_sargeant_quali_2023,2023,Monaco Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],4,0.9495000000000005,Q1,0.4069999999999965,0.5859999999999985,True,0.9495000000000005,4,
verstappen_perez_quali_2023,2023,Spanish Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2']","['Q2', 'Q1']",4,1.180500000000002,Q2,0.5739999999999981,1.0619999999999976,True,1.180500000000002,4,
albon_sargeant_quali_2023,2023,Spanish Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.6359999999999957,0.6359999999999957,False,,0,
verstappen_perez_quali_2023,2023,Canadian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",5,0.7309999999999945,Q2,4.299000000000007,3.0589999999999975,True,0.7309999999999945,5,
albon_sargeant_quali_2023,2023,Canadian Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],4,1.1855000000000047,Q1,1.399000000000001,4.612000000000009,True,1.1855000000000049,4,
verstappen_perez_quali_2023,2023,Austrian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",5,0.284000000000006,Q2,0.03900000000000148,0.5989999999999895,True,0.284000000000006,5,
albon_sargeant_quali_2023,2023,Austrian Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],2,,Q1,0.2749999999999915,0.6079999999999899,False,,0,
verstappen_perez_quali_2023,2023,British Grand Prix,VER,PER,True,dry,['Q1'],['Q1'],['Q1'],3,1.443000000000012,Q1,0.5400000000000063,3.2480000000000047,True,1.443000000000012,3,
albon_sargeant_quali_2023,2023,British Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,0.5090000000000003,Q2,0.9640000000000128,1.5010000000000048,True,0.5090000000000003,4,
verstappen_perez_quali_2023,2023,Hungarian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.4714999999999989,Q3,0.43300000000000693,0.43300000000000693,True,0.4714999999999989,4,
albon_sargeant_quali_2023,2023,Hungarian Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],3,0.33100000000000307,Q1,0.33100000000000307,0.33100000000000307,True,0.331000000000003,3,
verstappen_perez_quali_2023,2023,Belgian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,1.0495000000000019,Q3,0.8769999999999953,0.8769999999999953,True,1.049500000000002,4,
albon_sargeant_quali_2023,2023,Belgian Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],3,0.09300000000000352,Q1,1.2210000000000036,1.2210000000000036,True,0.0930000000000035,3,
verstappen_perez_quali_2023,2023,Dutch Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,1.1595000000000013,Q3,1.3130000000000024,1.3130000000000024,True,1.1595000000000013,4,
albon_sargeant_quali_2023,2023,Dutch Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2']",['Q2'],3,0.6920000000000073,Q2,0.6679999999999922,8.647999999999996,True,0.6920000000000073,3,
verstappen_perez_quali_2023,2023,Italian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.3404999999999987,Q3,0.3810000000000002,0.3810000000000002,True,0.3404999999999987,4,
albon_sargeant_quali_2023,2023,Italian Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",5,0.671999999999997,Q2,0.671999999999997,1.1700000000000017,True,0.671999999999997,5,
verstappen_perez_quali_2023,2023,Singapore Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",3,-0.2989999999999924,Q2,0.0030000000000001137,-0.2079999999999984,True,-0.2989999999999924,3,
albon_sargeant_quali_2023,2023,Singapore Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.583999999999989,0.583999999999989,False,,0,
verstappen_perez_quali_2023,2023,Japanese Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.7730000000000103,Q3,0.7730000000000103,0.7730000000000103,True,0.7730000000000103,3,
albon_sargeant_quali_2023,2023,Japanese Grand Prix,ALB,SAR,True,dry,['Q1'],[],[],0,,,,,False,,0,
verstappen_perez_quali_2023,2023,Qatar Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",5,0.7920000000000016,Q2,0.7920000000000016,1.4969999999999999,True,0.7920000000000016,5,
albon_sargeant_quali_2023,2023,Qatar Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],4,0.07150000000000034,Q1,0.09199999999999875,0.5030000000000001,True,0.0715000000000003,4,
verstappen_perez_quali_2023,2023,United States Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.44299999999999784,Q3,0.4549999999999983,0.4549999999999983,True,0.4429999999999978,3,
albon_sargeant_quali_2023,2023,United States Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.5120000000000005,0.5120000000000005,False,,0,
verstappen_perez_quali_2023,2023,Mexico City Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.4989999999999952,Q3,0.1599999999999966,0.1599999999999966,True,0.4989999999999952,3,
albon_sargeant_quali_2023,2023,Mexico City Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],1,,Q1,1.61099999999999,2.1369999999999862,False,,0,
verstappen_perez_quali_2023,2023,São Paulo Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,0.11050000000000182,Q2,0.05699999999998795,0.05699999999998795,True,0.1105000000000018,4,
albon_sargeant_quali_2023,2023,São Paulo Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],3,0.4140000000000015,Q1,0.4140000000000015,0.4140000000000015,True,0.4140000000000015,3,
verstappen_perez_quali_2023,2023,Las Vegas Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,0.3470000000000013,Q2,0.28300000000000125,0.7510000000000048,True,0.3470000000000013,4,
albon_sargeant_quali_2023,2023,Las Vegas Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.14500000000001023,Q3,0.19000000000001194,0.19000000000001194,True,0.1450000000000102,3,
verstappen_perez_quali_2023,2023,Abu Dhabi Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.3760000000000048,Q3,0.4230000000000018,0.4230000000000018,True,0.3760000000000048,3,
albon_sargeant_quali_2023,2023,Abu Dhabi Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.23399999999999466,0.23399999999999466,False,,0,
verstappen_perez_quali_2024,2024,Bahrain Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.5580000000000069,Q3,0.3580000000000041,0.3580000000000041,True,0.5580000000000069,3,
russell_hamilton_quali_2024,2024,Bahrain Grand Prix,RUS,HAM,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.010500000000000398,Q3,0.22499999999999432,0.22499999999999432,True,0.0105000000000003,4,
albon_sargeant_quali_2024,2024,Bahrain Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],2,,Q1,0.37299999999999045,0.5489999999999924,False,,0,
